iter	Passed	Remaining
407	5970	8663
408	5979	8640
409	5987	8616
410	5998	8596
411	6006	8572
412	6016	8551
413	6025	8528
414	6033	8504
415	6042	8482
416	6051	8460
417	6065	8444
418	6078	8428
419	6092	8413
420	6106	8398
421	6116	8377
422	6125	8355
423	6134	8334
424	6145	8313
425	6153	8291
426	6162	8269
427	6171	8248
428	6182	8229
429	6193	8209
430	6203	8189
431	6218	8176
432	6228	8156
433	6243	8142
434	6251	8119
435	6264	8103
436	6273	8082
437	6285	8064
438	6295	8044
439	6307	8027
440	6316	8006
441	6330	7992
442	6343	7975
443	6353	7955
444	6361	7934
445	6373	7916
446	6383	7897
447	6400	7885
448	6411	7868
449	6422	7850
450	6431	7829
451	6441	7809
452	6454	7794
453	6469	7780
454	6483	7765
455	6492	7745
456	6505	7730
457	6518	7714
458	6529	7695
459	6540	7678
460	6549	7658
461	6560	7639
462	6568	7618
463	6577	7597
464	6589	7581
465	6601	7564
466	6621	7557
467	6633	7540
468	6641	7519
469	6648	7497
470	6658	7478
471	6667	7458
472	6676	7438
473	6686	7420
474	6696	7401
475	6706	7382
476	6715	7363
477	6723	7342
478	6735	7325
479	6744	7306
480	6754	7287
481	6767	7273
482	6776	7253
483	6786	7234
484	6796	7217
485	6804	7196
486	6816	7180
487	6828	7163
488	6850	7158
489	6857	7137
490	6864	7115
491	6871	7094
492	6877	7073
493	6884	7052
494	6891	7030
495	6898	7009
496	6905	6988
497	6912	6967
498	6918	6946
499	6926	6926
500	6934	6907
501	6942	6887
502	6951	6868
503	6954	6843
504	6960	6822
505	6967	6802
506	6975	6782
507	6981	6761
508	6988	6741
509	6995	6721
510	7004	6703
511	7011	6682
512	7017	6662
513	7025	6642
514	7032	6622
515	7040	6604
516	7047	6584
517	7054	6564
518	7059	6543
519	7067	6523
520	7074	6503
521	7080	6483
522	7086	6463
523	7094	6444
524	7102	6425
525	7109	6406
526	7115	6386
527	7121	6366
528	7128	6347
529	7135	6327
530	7142	6308
531	7149	6289
532	7156	6270
533	7163	6251
534	7170	6232
535	7177	6213
536	7184	6194
537	7190	6175
538	7197	6155
539	7204	6136
540	7210	6542	541	7218	6543	542	7224	6544	543	7233	6545	7237	6017
546	7252	6006
547	7265	5992
548	7277	5978
549	7287	5962
550	7297	5946
551	7309	5932
552	7318	5915
553	7328	5899
554	7337	5883
555	7352	5871
556	7365	5857
557	7374	5841
558	7379	5821
559	7389	5806
560	7398	5789
561	7407	5772
562	7416	5756
563	7425	5740
564	7433	5723
565	7442	5706
566	7451	5690
567	7461	5675
568	7470	5658
569	7480	5642
570	7488	5626
571	7499	5611
572	7509	5596
573	7519	5580
574	7527	5563
575	7537	5548
576	7547	5533
577	7557	5517
578	7565	5500
579	7573	5484
580	7584	5469
581	7599	5457
582	7618	5449
583	7632	5436
584	7645	5423
585	7659	5411
586	7670	5396
587	7679	5380
588	7688	5365
589	7698	5350
590	7708	5334
591	7716	5318
592	7730	5305
593	7739	5290
594	7755	5278
595	7778	5272
596	7790	5258
597	7805	5247
598	7819	5234
599	7831	5221
600	7840	5205
601	7854	5193
602	7865	5178
603	7874	5162
604	7884	5147
605	7893	5131
606	7901	5115
607	7911	5100
608	7922	5086
609	7933	5072
610	7944	5058
611	7957	5045
612	7972	5032
613	7987	5021
614	7997	5006
615	8006	4990
616	8015	4975
617	8026	4961
618	8036	4946
619	8046	4931
620	8057	4917
621	8071	4905
622	8085	4892
623	8094	4877
624	8102	4861
625	8116	4848
626	8128	4835
627	8137	4820
628	8150	4807
629	8169	4797
630	8184	4786
631	8197	4773
632	8210	4760
633	8222	4746
634	8231	4731
635	8244	4718
636	8257	4705
637	8267	4691
638	8275	4675
639	8284	4659
640	8293	4644
641	8302	4629
642	8312	4615
643	8325	4602
644	8330	4584
645	8338	4569
646	8348	4554
647	8364	4543
648	8381	4532
649	8396	4521
650	8407	4507
651	8417	4492
652	8426	4477
653	8437	4463
654	8447	4449
655	8465	4439
656	8482	4428
657	8496	4416
658	8507	4401
659	8515	4386
660	8526	4372
661	8536	4358
662	8547	4344
663	8558	4330
664	8567	4316
665	8576	4301
666	8588	4288
667	8603	4276
668	8625	4267
669	8637	4254
670	8649	4241
671	8659	4226
672	8668	4211
673	8682	4199
674	8692	4185
675	8701	4170
676	8711	4156
677	8722	4142
678	8732	4128
679	8742	4114
680	8755	4101
681	8767	4088
682	8777	4073
683	8786	4059
684	8800	4046
685	8813	4034
686	8832	4024
687	8848	4012
688	8862	4000
689	8881	3990
690	8896	3978
691	8907	3964
692	8918	3950
693	8927	3936
694	8938	3922
695	8949	3908
696	8957	3894
697	8966	3879
698	8975	3865
699	8985	3850
700	8994	3836
701	9011	3825
702	9019	3810
703	9029	3796
704	9038	3782
705	9048	3767
706	9056	3753
707	9065	3739
708	9075	3725
709	9087	3711
710	9097	3697
711	9112	3685
712	9119	3671
713	9130	3657
714	9142	3644
715	9153	3630
716	9162	3616
717	9169	3601
718	9180	3587
719	9188	3573
720	9197	3559
721	9209	3546
722	9221	3533
723	9232	3519
724	9242	3505
725	9253	3492
726	9263	3478
727	9278	3466
728	9293	3454
729	9305	3441
730	9313	3427
731	9323	3413
732	9334	3400
733	9345	3386
734	9354	3372
735	9362	3358
736	9371	3344
737	9380	3330
738	9395	3318
739	9403	3303
740	9413	3290
741	9433	3280
742	9445	3267
743	9457	3254
744	9465	3239
745	9478	3227
746	9487	3213
747	9497	3199
748	9510	3186
749	9525	3175
750	9537	3162
751	9549	3149
752	9559	3135
753	9570	3122
754	9584	3110
755	9595	3096
756	9605	3083
757	9616	3070
758	9630	3057
759	9644	3045
760	9654	3032
761	9666	3019
762	9684	3008
763	9697	2995
764	9707	2982
765	9716	2968
766	9731	2956
767	9746	2944
768	9756	2930
769	9767	2917
770	9782	2905
771	9790	2891
772	9807	2879
773	9826	2869
774	9839	2856
775	9851	2843
776	9859	2829
777	9873	2817
778	9880	2803
779	9897	2791
780	9907	2778
781	9916	2764
782	9925	2750
783	9933	2736
784	9943	2723
785	9956	2710
786	9968	2698
787	9978	2684
788	9991	2672
789	10006	2659
790	10019	2647
791	10026	2633
792	10036	2619
793	10045	2606
794	10053	2592
795	10066	2579
796	10079	2567
797	10086	2553
798	10100	2540
799	10112	2528
800	10122	2514
801	10129	2500
802	10141	2487
803	10152	2474
804	10161	2461
805	10171	2448
806	10180	2434
807	10191	2421
808	10203	2409
809	10214	2395
810	10223	2382
811	10232	2369
812	10241	2355
813	10249	2342
814	10258	2328
815	10267	2315
816	10278	2302
817	10290	2289
818	10300	2276
819	10310	2263
820	10319	2249
821	10327	2236
822	10336	2223
823	10346	2210
824	10356	2196
825	10367	2183
826	10376	2170
827	10394	2159
828	10404	2146
829	10415	2133
830	10425	2120
831	10431	2106
832	10441	2093
833	10455	2081
834	10468	2068
835	10478	2055
836	10488	2042
837	10498	2029
838	10507	2016
839	10518	2003
840	10527	1990
841	10537	1977
842	10547	1964
843	10558	1951
844	10569	1938
845	10577	1925
846	10584	1912
847	10592	1898
848	10602	1885
849	10611	1872
850	10622	1859
851	10636	1847
852	10650	1835
853	10663	1823
854	10672	1809
855	10681	1796
856	10691	1784
857	10703	1771
858	10716	1759
859	10724	1745
860	10735	1733
861	10742	1719
862	10754	1707
863	10768	1695
864	10776	1681
865	10787	1669
866	10797	1656
867	10810	1643
868	10819	1630
869	10827	1617
870	10834	1604
871	10843	1591
872	10852	1578
873	10861	1565
874	10878	1554
875	10890	1541
876	10899	1528
877	10911	1516
878	10926	1504
879	10937	1491
880	10946	1478
881	10953	1465
882	10964	1452
883	10973	1439
884	10982	1427
885	10991	1414
886	11006	1402
887	11017	1389
888	11027	1376
889	11036	1364
890	11049	1351
891	11060	1339
892	11071	1326
893	11081	1313
894	11089	1301
895	11100	1288
896	11110	1275
897	11124	1263
898	11133	1250
899	11142	1238
900	11151	1225
901	11164	1212
902	11176	1200
903	11185	1187
904	11194	1175
905	11203	1162
906	11214	1149
907	11224	1137
908	11234	1124
909	11243	1112
910	11255	1099
911	11266	1087
912	11280	1074
913	11291	1062
914	11302	1049
915	11313	1037
916	11324	1024
917	11335	1012
918	11348	1000
919	11355	987
920	11365	974
921	11375	962
922	11387	949
923	11397	937
924	11409	925
925	11426	913
926	11440	900
927	11451	888
928	11462	876
929	11471	863
930	11484	851
931	11496	838
932	11503	826
933	11512	813
934	11520	800
935	11530	788
936	11542	776
937	11553	763
938	11565	751
939	11572	738
940	11581	726
941	11589	713
942	11595	700
943	11601	688
944	11617	676
945	11626	663
946	11634	651
947	11641	638
948	11649	626
949	11657	613
950	11664	601
951	11676	588
952	11708	577
953	11721	565
954	11738	553
955	11752	540
956	11763	528
957	11770	516
958	11776	503
959	11781	490
960	11787	478
961	11793	465
962	11800	453
963	11806	440
964	11813	428
965	11819	416
966	11826	403
967	11831	391
968	11837	378
969	11844	366
970	11849	353
971	11855	341
972	11861	329
973	11867	316
974	11873	304
975	11880	292
976	11885	279
977	11891	267
978	11897	255
979	11903	242
980	11909	230
981	11915	218
982	11922	206
983	11929	193
984	11935	181
985	11941	169
986	11947	157
987	11953	145
988	11959	133
989	11965	120
990	11971	108
991	11977	96
992	11982	84
993	11988	72
994	11993	60
995	12002	48
996	12008	36
997	12014	24
998	12020	12
999	12026	0
2039	0

