iter	Logloss
0	0.6874543347
1	0.6821038081
2	0.6767531927
3	0.6714605029
4	0.6664132419
5	0.6619635836
6	0.6573028787
7	0.6529918598
8	0.6487212202
9	0.6447900497
10	0.6410444723
11	0.6368278492
12	0.633216025
13	0.6299993745
14	0.6259280542
15	0.6226615628
16	0.6195863504
17	0.6161199622
18	0.6129228572
19	0.6098675901
20	0.6070450029
21	0.6045170191
22	0.6017400084
23	0.5991680029
24	0.5968523095
25	0.59465611
26	0.5923156738
27	0.5898615186
28	0.5877135609
29	0.5855693789
30	0.5833578984
331	0.5835259006332	0.5817739162
33	0.5800279283434	0.5780401543535	0.5763624433636	0.5748129323737	0.57335564
38	0.5714470698339	0.5699757849440	0.5682740857441	0.5665816261442	0.5653379571443	0.5640325866444	0.5626648926445	0.561573367346	0.5593997783
447	0.5592182276448	0.5581711237449	0.5568439423550	0.555698578551	0.5543857891552	0.5535069539553	0.5524657137554	0.5516223269555	0.550538086656	0.5486904183
57	0.54751427
58	0.5464444667
59	0.545452179
60	0.5445572632
61	0.543862955
62	0.5430334277
63	0.5422236236
64	0.5414900912
65	0.5406980556
66	0.5399950852
67	0.5391823937
68	0.538552008
69	0.5377478454
70	70	0.5375843271	71	0.5368344572	72	0.5360703173	73	0.535436997474	0.5347878624
75	0.5342456534
76	0.5335021706
77	0.532934286
78	0.5324416515
79	0.5317765726
80	0.531017942
81	0.5304618291
82	0.5298490344
83	0.52931953
84	0.5287440937
85	0.5280526285
86	0.5274469856
87	0.5268636423
88	0.526189457
89	0.525561248
90	0.5249501857
91	0.5244065997
92	0.5237727047
93	0.5233934783
94	0.5229076402
95	0.5222924911
96	0.5219413835
97	0.5214259163
98	0.521098	0.599	0.520599	0.5144373021
100	0.5139559061
101	0.5135000526
102	0.5128836597
103	0.5123813857
104	0.511867029
105	0.5114563077
106	0.5110829005
107	0.5107142019
108	0.5103252472
109	0.5097566963
110	0.509188323
111	0.5087308703
112	0.5081481489
113	0.5077322303
